Orleans,2008,48,15,37,128
Oswego,2008,96,82,99,605
Otsego,2008,55,54,46,296
Putnam,2008,92,38,101,548
Queens,2008,2901,283,9709,2843
Rensselaer,2008,148,71,135,453
Richmond,2008,1058,10,3198,447
Rockland,2008,301,126,314,751
Saratoga,2008,117,135,171,772
Schenectady,2008,162,63,142,399
Schoharie,2008,9,21,18,212
Schuyler,2008,5,31,13,69
Seneca,2008,17,33,20,136
Steuben,2008,55,86,45,410
St. Lawrence,2008,118,66,85,497
Suffolk,2008,999,510,3500,3828
Sullivan,2008,92,62,195,328
Tioga,2008,11,33,18,144
Tompkins,2008,31,61,58,320
Ulster,2008,193,161,387,1075
Unknown-NonNYS,2008,5,3,1,8
Warren,2008,100,77,129,452
Washington,2008,25,40,34,239
Wayne,2008,68,98,91,304
Westchester,2008,1089,230,2179,2465
Wyoming,2008,37,34,17,159
Yates,2008,11,21,14,42
Albany,2007,675,163,1126,1350
Allegany,2007,45,54,21,225
Bronx,2007,9159,173,23508,1238
Broome,2007,311,128,297,602
Cattaraugus,2007,35,83,95,411
Cayuga,2007,63,27,44,160
Chautauqua,2007,196,135,128,570
Chemung,2007,59,93,152,369
Chenango,2007,15,31,30,214
Clinton,2007,74,74,47,367
Columbia,2007,41,46,128,268
Cortland,2007,55,32,23,247
Delaware,2007,25,31,33,251
Dutchess,2007,162,207,288,1432
Erie,2007,1788,490,3364,2529
Essex,2007,25,41,43,273
Franklin,2007,81,33,40,235
Fulton,2007,38,33,31,281
Genesee,2007,38,70,51,299
Greene,2007,50,47,86,312
Hamilton,2007,7,2,4,20
Herkimer,2007,21,52,48,350
Jefferson,2007,77,63,96,564
Kings,2007,8879,233,25037,2137
Lewis,2007,27,11,15,87
Livingston,2007,22,41,45,306
Madison,2007,33,16,48,326
Monroe,2007,765,430,908,2002
Montgomery,2007,57,33,34,208
Nassau,2007,973,280,1589,2945
New York,2007,7275,208,16582,2208
Niagara,2007,246,160,380,894
Oneida,2007,275,61,395,884
Onondaga,2007,618,191,842,1496
Ontario,2007,56,77,90,313
Orange,2007,535,234,950,1521
Orleans,2007,67,30,39,116
Oswego,2007,58,71,61,446
Otsego,2007,48,46,33,299
Putnam,2007,71,26,101,384
Queens,2007,3404,327,9076,2924
Rensselaer,2007,190,65,160,569
Richmond,2007,1085,15,2019,538
Rockland,2007,340,130,285,897
Saratoga,2007,86,129,153,890
Schenectady,2007,246,73,172,467
Schoharie,2007,10,32,17,139
Schuyler,2007,8,35,7,80
Seneca,2007,17,28,29,111
Steuben,2007,96,103,48,472
St. Lawrence,2007,142,65,66,474
Suffolk,2007,1374,523,3817,4095
Sullivan,2007,112,74,210,303
Tioga,2007,14,34,31,153
Tompkins,2007,37,58,64,282
Ulster,2007,237,143,422,1071
Unknown-NonNYS,2007,11,1,1,3
Warren,2007,45,87,102,594
Washington,2007,28,37,23,214
Wayne,2007,86,68,87,304
Westchester,2007,1245,214,2307,2443
Wyoming,2007,38,37,15,136
Yates,2007,8,12,11,70
Albany,2006,814,149,1282,1512
Allegany,2006,45,44,27,257
Bronx,2006,7843,159,19066,939
Broome,2006,372,136,283,569
Cattaraugus,2006,74,64,76,362
Cayuga,2006,59,30,27,209
Chautauqua,2006,210,118,144,632
Chemung,2006,86,81,127,355
Chenango,2006,7,37,36,236
Clinton,2006,76,55,54,428
Columbia,2006,66,45,165,193
Cortland,2006,28,26,24,209
Delaware,2006,21,26,17,246
Dutchess,2006,219,178,333,1285
Erie,2006,1453,541,3430,2755
Essex,2006,54,32,58,364
Franklin,2006,52,47,31,233
Fulton,2006,35,54,23,266
