Tompkins,2007,1487,362,1125
Ulster,2007,4433,1092,3341
Unknown-NonNYS,2007,99,67,32
Warren,2007,2198,527,1671
Washington,2007,1230,303,927
Wayne,2007,1698,436,1262
Westchester,2007,17273,5121,12152
Wyoming,2007,676,211,465
Yates,2007,370,89,281
Albany,2006,10619,3253,7366
Allegany,2006,1095,255,840
Bronx,2006,68312,18979,49333
Broome,2006,5071,1525,3546
Cattaraugus,2006,1998,462,1536
Cayuga,2006,1353,416,937
Chautauqua,2006,3418,949,2469
Chemung,2006,2149,578,1571
Chenango,2006,1063,249,814
Clinton,2006,1969,509,1460
Columbia,2006,1289,337,952
Cortland,2006,1130,295,835
Delaware,2006,999,222,777
Dutchess,2006,5142,1418,3724
Erie,2006,24890,7583,17307
Essex,2006,1039,241,798
Franklin,2006,1193,347,846
Fulton,2006,1218,326,892
Genesee,2006,1318,341,977
Greene,2006,1248,366,882
Hamilton,2006,84,17,67
Herkimer,2006,1307,296,1011
Jefferson,2006,2499,651,1848
Kings,2006,77716,26371,51345
Lewis,2006,427,117,310
Livingston,2006,1261,240,1021
Madison,2006,1134,255,879
Monroe,2006,15243,4153,11090
Montgomery,2006,1069,290,779
Nassau,2006,16523,5628,10895
New York,2006,74911,23853,51058
Niagara,2006,5739,1645,4094
Oneida,2006,5167,1132,4035
Onondaga,2006,10427,3653,6774
Ontario,2006,2057,570,1487
Orange,2006,8866,2491,6375
Orleans,2006,834,264,570
Oswego,2006,2231,618,1613
Otsego,2006,1295,383,912
Putnam,2006,1364,304,1060
Queens,2006,47895,16052,31843
Rensselaer,2006,3198,961,2237
Richmond,2006,9350,3052,6298
Rockland,2006,4427,1362,3065
Saratoga,2006,3593,833,2760
Schenectady,2006,3923,1210,2713
Schoharie,2006,531,115,416
Schuyler,2006,347,75,272
Seneca,2006,685,160,525
Steuben,2006,1980,573,1407
St. Lawrence,2006,2543,685,1858
Suffolk,2006,24336,6892,17444
Sullivan,2006,2016,693,1323
Tioga,2006,685,175,510
Tompkins,2006,1437,319,1118
Ulster,2006,4624,1145,3479
